date,search_index,brand_ko,brand
2024-09-02,7.94962,롬앤,romand
2024-09-09,16.18411,롬앤,romand
2024-09-16,13.79519,롬앤,romand
2024-09-23,9.33469,롬앤,romand
2024-09-30,8.12138,롬앤,romand
2024-10-07,8.27219,롬앤,romand
2024-10-14,9.43785,롬앤,romand
2024-10-21,9.08229,롬앤,romand
2024-10-28,17.78598,롬앤,romand
2024-11-04,15.20645,롬앤,romand
2024-11-11,10.79779,롬앤,romand
2024-11-18,8.78537,롬앤,romand
2024-11-25,9.32474,롬앤,romand
2024-12-02,9.02207,롬앤,romand
2024-12-09,7.75691,롬앤,romand
2024-12-16,7.8407,롬앤,romand
2024-12-23,6.82533,롬앤,romand
2024-12-30,10.32283,롬앤,romand
2025-01-06,11.75503,롬앤,romand
2025-01-13,8.34707,롬앤,romand
2025-01-20,16.01392,롬앤,romand
2025-01-27,14.46285,롬앤,romand
2025-02-03,10.78522,롬앤,romand
2025-02-10,9.917,롬앤,romand
2025-02-17,10.28932,롬앤,romand
2025-02-24,12.44311,롬앤,romand
2025-03-03,9.87039,롬앤,romand
2025-03-10,17.00206,롬앤,romand
2025-03-17,8.39263,롬앤,romand
2025-03-24,6.71484,롬앤,romand
2025-03-31,9.8772,롬앤,romand
2025-04-07,52.09541,롬앤,romand
2025-04-14,30.54119,롬앤,romand
2025-04-21,8.18526,롬앤,romand
2025-04-28,7.78676,롬앤,romand
2025-05-05,7.24897,롬앤,romand
2025-05-12,6.94787,롬앤,romand
2025-05-19,8.35441,롬앤,romand
2025-05-26,6.50276,롬앤,romand
2025-06-02,8.05226,롬앤,romand
2025-06-09,6.04718,롬앤,romand
2025-06-16,6.52423,롬앤,romand
2025-06-23,7.01489,롬앤,romand
2025-06-30,7.94491,롬앤,romand
2025-07-07,6.54727,롬앤,romand
2025-07-14,6.88869,롬앤,romand
2025-07-21,7.00233,롬앤,romand
2025-07-28,6.99918,롬앤,romand
2025-08-04,7.16518,롬앤,romand
2025-08-11,7.79985,롬앤,romand
2025-08-18,9.80127,롬앤,romand
2025-08-25,7.67889,롬앤,romand
2025-09-01,7.81504,롬앤,romand
2025-09-08,18.29078,롬앤,romand
2025-09-15,11.05281,롬앤,romand
2025-09-22,11.49163,롬앤,romand
2025-09-29,8.66493,롬앤,romand
2025-10-06,8.04859,롬앤,romand
2025-10-13,8.99065,롬앤,romand
2025-10-20,11.80321,롬앤,romand
2022-01-03,12.58764,클리오,clio
2022-01-10,10.97897,클리오,clio
2022-01-17,10.57104,클리오,clio
2022-01-24,8.96761,클리오,clio
2022-01-31,9.94737,클리오,clio
2022-02-07,13.84808,클리오,clio
2022-02-14,27.78153,클리오,clio
2022-02-21,22.58529,클리오,clio
2022-02-28,15.88301,클리오,clio
2022-03-07,14.44819,클리오,clio
2022-03-14,11.64506,클리오,clio
2022-03-21,24.55737,클리오,clio
2022-03-28,14.37331,클리오,clio
2022-04-04,13.0626,클리오,clio
2022-04-11,12.518,클리오,clio
2022-04-18,17.57547,클리오,clio
2022-04-25,16.32393,클리오,clio
2022-05-02,12.55989,클리오,clio
2022-05-09,11.46545,클리오,clio
2022-05-16,14.37645,클리오,clio
2022-05-23,10.76951,클리오,clio
2022-05-30,9.77561,클리오,clio
2022-06-06,9.38444,클리오,clio
2022-06-13,8.55863,클리오,clio
2022-06-20,8.98175,클리오,clio
2022-06-27,8.13918,클리오,clio
2022-07-04,8.01822,클리오,clio
2022-07-11,7.82289,클리오,clio
2022-07-18,8.43452,클리오,clio
2022-07-25,8.42562,클리오,clio
2022-08-01,9.13465,클리오,clio
2022-08-08,10.60456,클리오,clio
2022-08-15,9.21844,클리오,clio
2022-08-22,10.84177,클리오,clio
2022-08-29,13.77739,클리오,clio
2022-09-05,10.76479,클리오,clio
2022-09-12,10.63283,클리오,clio
2022-09-19,15.16665,클리오,clio
2022-09-26,10.41552,클리오,clio
2022-10-03,9.01264,클리오,clio
2022-10-10,8.46071,클리오,clio
2022-10-17,9.24253,클리오,clio
2022-10-24,9.10114,클리오,clio
2022-10-31,11.12298,클리오,clio
2022-11-07,11.88647,클리오,clio
2022-11-14,9.75676,클리오,clio
2022-11-21,8.96342,클리오,clio
2022-11-28,10.38305,클리오,clio
2022-12-05,13.45848,클리오,clio
2022-12-12,10.28303,클리오,clio
2022-12-19,11.30259,클리오,clio
2022-12-26,13.56845,클리오,clio
2023-01-02,13.73916,클리오,clio
2023-01-09,15.87568,클리오,clio
2023-01-16,14.92943,클리오,clio
2023-01-23,17.45503,클리오,clio
2023-01-30,15.81808,클리오,clio
2023-02-06,15.75419,클리오,clio
2023-02-13,15.52797,클리오,clio
2023-02-20,24.03738,클리오,clio
2023-02-27,23.51687,클리오,clio
2023-03-06,17.5519,클리오,clio
2023-03-13,13.53546,클리오,clio
2023-03-20,16.19406,클리오,clio
2023-03-27,13.64647,클리오,clio
2023-04-03,14.26282,클리오,clio
2023-04-10,12.35043,클리오,clio
2023-04-17,13.65119,클리오,clio
2023-04-24,13.10292,클리오,clio
2023-05-01,10.70719,클리오,clio
2023-05-08,16.86382,클리오,clio
2023-05-15,12.68871,클리오,clio
2023-05-22,13.41973,클리오,clio
2023-05-29,11.05647,클리오,clio
2023-06-05,10.15997,클리오,clio
2023-06-12,10.1961,클리오,clio
2023-06-19,9.49179,클리오,clio
2023-06-26,8.8922,클리오,clio
2023-07-03,9.44309,클리오,clio
2023-07-10,10.54957,클리오,clio
2023-07-17,10.21077,클리오,clio
2023-07-24,9.02992,클리오,clio
2023-07-31,8.94561,클리오,clio
2023-08-07,18.04728,클리오,clio
2023-08-14,12.10954,클리오,clio
2023-08-21,13.36789,클리오,clio
2023-08-28,17.19425,클리오,clio
2023-09-04,19.78844,클리오,clio
2023-09-11,15.74476,클리오,clio
2023-09-18,18.67253,클리오,clio
2023-09-25,14.2005,클리오,clio
2023-10-02,11.51362,클리오,clio
2023-10-09,10.7517,클리오,clio
2023-10-16,11.93412,클리오,clio
2023-10-23,12.23941,클리오,clio
2023-10-30,17.00939,클리오,clio
2023-11-06,17.1623,클리오,clio
2023-11-13,11.88908,클리오,clio
2023-11-20,11.91841,클리오,clio
2023-11-27,12.84476,클리오,clio
2023-12-04,11.30102,클리오,clio
2023-12-11,18.20961,클리오,clio
2023-12-18,14.50789,클리오,clio
2023-12-25,10.07357,클리오,clio
2024-01-01,12.16558,클리오,clio
2024-01-08,12.07184,클리오,clio
2024-01-15,10.84282,클리오,clio
2024-01-22,10.69829,클리오,clio
2024-01-29,11.17272,클리오,clio
2024-02-05,10.6344,클리오,clio
2024-02-12,12.26769,클리오,clio
2024-02-19,12.41065,클리오,clio
2024-02-26,13.0893,클리오,clio
2024-03-04,10.50244,클리오,clio
2024-03-11,10.08142,클리오,clio
2024-03-18,9.22786,클리오,clio
2024-03-25,9.62113,클리오,clio
2024-04-01,12.04409,클리오,clio
2024-04-08,8.58848,클리오,clio
2024-04-15,9.63108,클리오,clio
2024-04-22,17.01044,클리오,clio
2024-04-29,13.46686,클리오,clio
2024-05-06,11.60474,클리오,clio
2024-05-13,11.5906,클리오,clio
2024-05-20,12.16243,클리오,clio
2024-05-27,13.06836,클리오,clio
2024-06-03,10.072,클리오,clio
2024-06-10,11.3958,클리오,clio
2024-06-17,11.98387,클리오,clio
2024-06-24,9.59128,클리오,clio
2024-07-01,9.63056,클리오,clio
2024-07-08,8.27638,클리오,clio
2024-07-15,8.56858,클리오,clio
2024-07-22,9.02469,클리오,clio
2024-07-29,8.13709,클리오,clio
2024-08-05,8.90267,클리오,clio
2024-08-12,10.03796,클리오,clio
2024-08-19,10.14531,클리오,clio
2024-08-26,12.77563,클리오,clio
2024-09-02,15.98408,클리오,clio
2024-09-09,9.15193,클리오,clio
2024-09-16,7.35736,클리오,clio
2024-09-23,8.29628,클리오,clio
2024-09-30,8.03236,클리오,clio
2024-10-07,7.25525,클리오,clio
2024-10-14,7.4202,클리오,clio
2024-10-21,9.41743,클리오,clio
2024-10-28,9.53263,클리오,clio
2024-11-04,9.01421,클리오,clio
2024-11-11,9.2043,클리오,clio
2024-11-18,6.67766,클리오,clio
2024-11-25,7.12224,클리오,clio
2024-12-02,7.1678,클리오,clio
2024-12-09,9.82326,클리오,clio
2024-12-16,6.75935,클리오,clio
2024-12-23,5.92883,클리오,clio
2024-12-30,5.87542,클리오,clio
2025-01-06,6.54203,클리오,clio
2025-01-13,6.75935,클리오,clio
2025-01-20,6.56141,클리오,clio
2025-01-27,6.65933,클리오,clio
2025-02-03,7.40345,클리오,clio
2025-02-10,8.09572,클리오,clio
2025-02-17,12.72013,클리오,clio
2025-02-24,13.68523,클리오,clio
2025-03-03,10.4019,클리오,clio
2025-03-10,11.74298,클리오,clio
2025-03-17,9.25352,클리오,clio
2025-03-24,8.43243,클리오,clio
2025-03-31,8.86497,클리오,clio
2025-04-07,7.40345,클리오,clio
2025-04-14,7.42858,클리오,clio
2025-04-21,8.51307,클리오,clio
2025-04-28,8.93566,클리오,clio
2025-05-05,8.06273,클리오,clio
2025-05-12,13.73497,클리오,clio
2025-05-19,9.34097,클리오,clio
2025-05-26,8.6089,클리오,clio
2025-06-02,7.45634,클리오,clio
2025-06-09,8.38792,클리오,clio
2025-06-16,8.13866,클리오,clio
2025-06-23,7.79043,클리오,clio
2025-06-30,8.3942,클리오,clio
2025-07-07,8.15803,클리오,clio
2025-07-14,7.93391,클리오,clio
2025-07-21,7.92029,클리오,clio
2025-07-28,7.40973,클리오,clio
2025-08-04,8.16065,클리오,clio
2025-08-11,8.54711,클리오,clio
2025-08-18,8.51517,클리오,clio
2025-08-25,10.81245,클리오,clio
2025-09-01,8.8634,클리오,clio
2025-09-08,7.93077,클리오,clio
2025-09-15,13.60825,클리오,clio
2025-09-22,8.23606,클리오,clio
2025-09-29,7.04369,클리오,clio
2025-10-06,5.54656,클리오,clio
2025-10-13,6.92797,클리오,clio
2025-10-20,9.44256,클리오,clio
2022-01-03,7.67994,에뛰드,etude
2022-01-10,6.93896,에뛰드,etude
2022-01-17,6.53837,에뛰드,etude
2022-01-24,7.1212,에뛰드,etude
2022-01-31,9.11318,에뛰드,etude
2022-02-07,7.37517,에뛰드,etude
2022-02-14,7.12591,에뛰드,etude
2022-02-21,6.98976,에뛰드,etude
2022-02-28,7.27201,에뛰드,etude
2022-03-07,6.59387,에뛰드,etude
2022-03-14,8.1308,에뛰드,etude
2022-03-21,6.72741,에뛰드,etude
2022-03-28,6.19118,에뛰드,etude
2022-04-04,6.09797,에뛰드,etude
2022-04-11,6.18699,에뛰드,etude
2022-04-18,6.65985,에뛰드,etude
2022-04-25,6.43782,에뛰드,etude
